GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
consumer-account,com.spayker.consumer.service,ConsumerServiceImpl,49,77,5,5,9,16,5,5,0,5
consumer-account,com.spayker.consumer.config,ResourceServerConfig,0,22,0,0,0,4,0,4,0,4
consumer-account,com.spayker.consumer.config,GlobalExceptionHandler,118,7,0,0,15,2,4,2,4,2
consumer-account,com.spayker.consumer.controller,ServiceController,0,19,0,0,0,5,0,4,0,4
consumer-account,com.spayker.consumer.controller,ErrorHandler,6,8,0,0,2,2,1,1,1,1
consumer-account,com.spayker.consumer.domain,Consumer,122,40,24,0,0,7,16,9,4,9
consumer-account,com.spayker.consumer.domain,Consumer.ConsumerBuilder,8,28,0,0,0,1,1,5,1,5
consumer-account,com.spayker.consumer,ConsumerApplication,5,3,0,0,2,1,1,1,1,1
consumer-account,com.spayker.consumer.exception,ConsumerException,16,0,0,0,8,0,4,0,4,0
